scenario,seed,policy,cost_per_day,holding_per_day,penalty_per_day,fill_rate,shortage_units,backlog_unit_days,demand_units
supplier_delay,1008,coordinated,416.94246575342464,5.556164383561644,411.386301369863,0.3822155030236394,4495.0,12513.0,7276.0
supplier_delay,1009,independent,60.37041095890411,33.3786301369863,26.991780821917807,0.9047683189655172,707.0,821.0,7424.0
supplier_delay,1009,coordinated,464.1698630136986,5.079452054794521,459.0904109589041,0.37742456896551724,4622.0,13964.0,7424.0
supplier_delay,1010,independent,83.5041095890411,30.76986301369863,52.73424657534247,0.8675045823514009,1012.0,1604.0,7638.0
supplier_delay,1010,coordinated,518.4794520547945,4.583561643835616,513.8958904109589,0.35899450117831894,4896.0,15631.0,7638.0
supplier_delay,1011,independent,56.88328767123288,33.113424657534246,23.76986301369863,0.9223131624849054,579.0,723.0,7453.0
supplier_delay,1011,coordinated,460.06849315068496,4.528767123287671,455.53972602739725,0.3783711257211861,4633.0,13856.0,7453.0
supplier_delay,1012,independent,75.67671232876712,30.898630136986302,44.778082191780825,0.8652379700236655,1025.0,1362.0,7606.0
supplier_delay,1012,coordinated,513.4383561643835,5.065753424657534,508.372602739726,0.3502498027872732,4942.0,15463.0,7606.0
supplier_delay,1013,independent,52.726027397260275,39.11506849315069,13.610958904109589,0.9498257839721255,360.0,414.0,7175.0
supplier_delay,1013,coordinated,379.0712328767123,4.901369863013699,374.1698630136986,0.39902439024390246,4312.0,11381.0,7175.0
supplier_delay,1014,independent,61.70986301369862,35.770136986301374,25.93972602739726,0.9230455472467709,566.0,789.0,7355.0
supplier_delay,1014,coordinated,426.1123287671233,4.7315068493150685,421.3808219178082,0.385588035350102,4519.0,12817.0,7355.0
supplier_delay,1015,independent,52.45589041095891,34.99835616438356,17.457534246575342,0.9413120086744375,433.0,531.0,7378.0
supplier_delay,1015,coordinated,429.1013698630137,4.597260273972603,424.5041095890411,0.3807264841420439,4569.0,12912.0,7378.0
supplier_delay,1016,independent,53.25452054794521,35.40246575342466,17.852054794520548,0.9403331512834516,437.0,543.0,7324.0
supplier_delay,1016,coordinated,428.72328767123287,5.402739726027397,423.3205479452055,0.4000546149645003,4394.0,12876.0,7324.0
supplier_delay,1017,independent,71.63424657534246,31.458904109589042,40.175342465753424,0.8857519788918206,866.0,1222.0,7580.0
supplier_delay,1017,coordinated,503.36712328767123,4.956164383561644,498.4109589041096,0.3548812664907652,4890.0,15160.0,7580.0
supplier_delay,1018,independent,64.6786301369863,34.49780821917808,30.18082191780822,0.910385032537961,661.0,918.0,7376.0
supplier_delay,1018,coordinated,446.16438356164383,5.254794520547946,440.9095890410959,0.4008947939262473,4419.0,13411.0,7376.0
supplier_delay,1019,independent,63.449041095890415,36.78602739726027,26.663013698630138,0.9249692496924969,549.0,811.0,7317.0
supplier_delay,1019,coordinated,419.0054794520548,5.317808219178082,413.6876712328767,0.4020773541068744,4375.0,12583.0,7317.0
supplier_delay,1020,independent,61.127945205479456,33.74164383561644,27.386301369863013,0.9181537635851335,610.0,833.0,7453.0
supplier_delay,1020,coordinated,449.68219178082194,4.63013698630137,445.05205479452053,0.3889708842077016,4554.0,13537.0,7453.0
combined_stress,1001,independent,310.7619178082192,29.403013698630136,281.35890410958905,0.7162901307966706,2386.0,8558.0,8410.0
combined_stress,1001,coordinated,754.0383561643836,4.449315068493151,749.5890410958904,0.32936979785969084,5640.0,22800.0,8410.0
combined_stress,1002,independent,348.0158904109589,29.144657534246573,318.8712328767123,0.7256118983487527,2343.0,9699.0,8539.0
combined_stress,1002,coordinated,798.4547945205479,4.383561643835616,794.0712328767123,0.2930085490104228,6037.0,24153.0,8539.0
combined_stress,1003,independent,346.23616438356163,28.647123287671235,317.5890410958904,0.7318097014925373,2300.0,9660.0,8576.0
combined_stress,1003,coordinated,801.3178082191781,3.728767123287671,797.5890410958904,0.30806902985074625,5934.0,24260.0,8576.0
combined_stress,1004,independent,361.2115068493151,28.006027397260276,333.2054794520548,0.7326778484673222,2311.0,10135.0,8645.0
combined_stress,1004,coordinated,832.3123287671233,4.213698630136986,828.0986301369863,0.29728166570271836,6075.0,25188.0,8645.0
combined_stress,1005,independent,352.09068493150687,27.137260273972604,324.95342465753424,0.7098487472578224,2513.0,9884.0,8661.0
combined_stress,1005,coordinated,825.2027397260274,3.350684931506849,821.8520547945205,0.30412192587461034,6027.0,24998.0,8661.0
combined_stress,1006,independent,332.92931506849317,29.707397260273975,303.2219178082192,0.725207100591716,2322.0,9223.0,8450.0
combined_stress,1006,coordinated,772.8082191780821,4.413698630136986,768.3945205479451,0.31810650887573966,5762.0,23372.0,8450.0
combined_stress,1007,independent,335.5671232876712,27.183561643835617,308.3835616438356,0.7469795539033457,2178.0,9380.0,8608.0
combined_stress,1007,coordinated,810.6219178082192,3.893150684931507,806.7287671232876,0.3069237918215613,5966.0,24538.0,8608.0
combined_stress,1008,independent,320.25013698630136,29.422739726027395,290.827397260274,0.7200332304770947,2359.0,8846.0,8426.0
combined_stress,1008,coordinated,766.0630136986301,4.441095890410959,761.6219178082192,0.32197958699264184,5713.0,23166.0,8426.0
combined_stress,1009,independent,345.7032876712329,26.897808219178085,318.8054794520548,0.7154131847725163,2452.0,9697.0,8616.0
combined_stress,1009,coordinated,827.2246575342466,4.090410958904109,823.1342465753424,0.30687093779015784,5972.0,25037.0,8616.0
combined_stress,1010,independent,388.96767123287674,24.858082191780824,364.1095890410959,0.6720478663355159,2905.0,11075.0,8858.0
combined_stress,1010,coordinated,891.9287671232877,3.7315068493150685,888.1972602739726,0.29363287423797696,6257.0,27016.0,8858.0
combined_stress,1011,independent,311.3054794520548,25.9027397260274,285.4027397260274,0.736235595390525,2266.0,8681.0,8591.0
combined_stress,1011,coordinated,806.0958904109589,3.5095890410958903,802.586301369863,0.30578512396694213,5964.0,24412.0,8591.0
combined_stress,1012,independent,403.5931506849315,26.234246575342464,377.35890410958905,0.6721330015833522,2899.0,11478.0,8842.0
combined_stress,1012,coordinated,891.482191780822,4.1068493150684935,887.3753424657534,0.2951820855010179,6232.0,26991.0,8842.0
combined_stress,1013,independent,295.6512328767123,31.059452054794523,264.5917808219178,0.7380780346820809,2175.0,8048.0,8304.0
combined_stress,1013,coordinated,721.7068493150684,3.8767123287671232,717.8301369863013,0.32695086705202314,5589.0,21834.0,8304.0
combined_stress,1014,independent,324.5030136986301,28.349589041095893,296.15342465753423,0.7314641013608635,2289.0,9008.0,8524.0
combined_stress,1014,coordinated,781.8684931506849,3.7095890410958905,778.158904109589,0.3103003284842797,5879.0,23669.0,8524.0
combined_stress,1015,independent,325.92739726027395,27.636986301369863,298.2904109589041,0.7467600700525394,2169.0,9073.0,8565.0
combined_stress,1015,coordinated,791.6876712328767,3.7315068493150685,787.9561643835616,0.30834792761237595,5924.0,23967.0,8565.0
combined_stress,1016,independent,327.1550684931507,28.56876712328767,298.586301369863,0.7328154425612052,2270.0,9082.0,8496.0
combined_stress,1016,coordinated,785.3835616438356,4.331506849315068,781.0520547945206,0.3249764595103578,5735.0,23757.0,8496.0
combined_stress,1017,independent,358.3917808219178,25.087671232876712,333.3041095890411,0.6831050228310502,2776.0,10138.0,8760.0
combined_stress,1017,coordinated,862.827397260274,3.956164383561644,858.8712328767124,0.3013698630136986,6120.0,26124.0,8760.0
combined_stress,1018,independent,405.6567123287671,30.237534246575343,375.41917808219176,0.7171974522292993,2442.0,11419.0,8635.0
combined_stress,1018,coordinated,833.1178082191781,4.46027397260274,828.6575342465753,0.32680949623624783,5813.0,25205.0,8635.0
combined_stress,1019,independent,345.63753424657534,30.053972602739726,315.5835616438356,0.7277216082765107,2316.0,9599.0,8506.0
combined_stress,1019,coordinated,781.5068493150685,4.367123287671233,777.1397260273973,0.32494709616741124,5742.0,23638.0,8506.0
combined_stress,1020,independent,345.66328767123287,27.153698630136986,318.50958904109586,0.7322315959782735,2317.0,9688.0,8653.0
combined_stress,1020,coordinated,816.3342465753425,3.7534246575342465,812.5808219178082,0.30867907084248236,5982.0,24716.0,8653.0
